F2,,
"I need to start this review by stating 1) I can't stand self-help books and 2) I'm a feminist (no, I don't hate men- some men are quite awesome, but I am very conscious of women and our place in the world.",,
"The problem with this book is not just that it's bad, which it certainly is, but that there are so many people out there who want to corner you at parties and tell you how it's totally changed their lives. In a way you might as well read it just so you can see how feeble-minded they must be to get any kind of philosophical nourishment out of this inexhaustible stream of clichés. The profound lessons you'll learn from this book amount to nothing more than several variations on the theme of only the very ugly is truly beautiful, only the very stupid are really intelligent, only black is white, only up is down etc etc.",,
"His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.",,
"If books were pills, Alchemist would be a sugarcoated placebo with no real effect. Let's call it a feel-good homily. I have never read a book as meretricious as this one. Many reviewers have pointed out the problems with this celebrated novel so I'd rather not expend any more words. Suffice it so say that this is a good example of portentous writing that is best avoided if your benchmark is quality literature.",,
All those negative reviews are baffling to me. Where does it say this is a self help book? People are bashing the lessons as if this is some philosophical or religious work. It's a fictional story that can be enjoyed by yourself or with your kids for ENTERTAINMENT PURPOSES. It's a fun story filled to the brim with quirks and marvels. I was curious the entire time how following one's legend blindly would turn out for the boy. Am I going to now follow my dreams without logic and reason as in the story? No. Because I'm not a crazy person. Get over it. It's just a story and a good one at that.,,
"I don’t believe in disliking things just because they are popular. I went into this with the intention of liking it, but ended up feeling uncomfortable by the tone of this book. Although I wholeheartedly respect the personal nature of this story, the author’s note does not exempt this work of fiction from criticism, especially when it comes to a topic as serious as domestic abuse.",,
"I empathize with the main character Lily and I appreciate the effort that was made to highlight how trauma distorts and lingers, but I don’t believe this captured the severity or nuance that a topic this heavy deserves in fictionalized work. This book is marketed as romance, and the synopsis makes it seem like a lighthearted love triangle instead of a woman’s experience with spousal abuse. In comparison to Kate Elizabeth Russell’s harrowing depiction of abuse in My Dark Vanessa, the tone of It Ends With Us feels acutely inappropriate. It reduces domestic abuse to a lovers quarrel and presents a tactless caricature of the realities of abuse. I can acknowledge this may not have been the intention, but the elaboration in the authors note does not absolve this book of its reckless and irresponsible marketing.",,
"It Ends With Us has the bones of a powerful story but reads like a low budget Hallmark movie pushed forward by ridiculous plot revelations. Hoover’s attempt to make Ryle into a three dimensional character completely flops. At first, I thought the accelerated relationship between Ryle and Lily was meant to emphasize how witnessing abuse in early age might make you less likely to spot red flags in others; however, it turns out Hoover was really trying to create a deep relationship between these two. Her use of “Naked Truth” to build their relationship was a lazy ploy to circumvent true development and simulated an unsatisfying and unearned intimacy. I also found the use of teenage diary entries in the form of letters to Ellen DeGeneres to have aged really badly, and comes off as a corny device to tell rather than show readers about Lily’s relationship with Atlas.",,
"The single redeeming quality of this book is the empathy that Lily develops for her mother towards the end, but this moment, as well as the ending, lacks sufficient nuance. I wanted more discussion, I wanted more development, and I wanted less telling and more showing. Although the message that the cycle of abuse “ends with us” is personal for Hoover, I feel like this depiction is reductive and makes it seem like walking away is a choice all women have. Hoover maintains that this book was meant to show that domestic abuse isn’t black and white, but I don’t think it achieved that at all. She made the conscious decision to pit romance and abuse against each other, packaged it with a pink cover, a synopsis free of any mention of abuse, and marketed it to impressionable young adults. However well intentioned this cathartic passion project was, its reception as a work of fiction is devout of nuance, the white knight message of It Ends With Us completely undercut by its blatant romanticism of abuse.",,
This sound track was beautiful! It paints the senery in your mind so well I would recomend it even to people who hate vid. game music! I have played the game Chrono Cross but out of all of the games I have ever played it has the best music! It backs away from crude keyboarding and takes a fresher step with grate guitars and soulful orchestras. It would impress anyone who cares to listen!  ,,
"I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit. This in my opinino is Yasunori Mitsuda's ultimate masterpiece. The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fade.The price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny.",,
"This soundtrack is my favorite music of all time, hands down. The intense sadness of  Prisoners of Fate  (which means all the more if you've played the game) and the hope in  A Distant Promise  and  Girl who Stole the Star  have been an important inspiration to me personally throughout my teen years. The higher energy tracks like  Chrono Cross ~ Time's Scar~ ,  Time of the Dreamwatch , and  Chronomantique  (indefinably remeniscent of Chrono Trigger) are all absolutely superb as well.This soundtrack is amazing music, probably the best of this composer's work (I haven't heard the Xenogears soundtrack, so I can't say for sure), and even if you've never played the game, it would be worth twice the price to buy it.I wish I could give it 6 stars.",,
"I truly like this soundtrack and I enjoy video game music. I have played this game and most of the music on here I enjoy and it's truly relaxing and peaceful.On disk one. my favorites are Scars Of Time, Between Life and Death, Forest Of Illusion, Fortress of Ancient Dragons, Lost Fragment, and Drowned Valley.Disk Two: The Draggons, Galdorb - Home, Chronomantique, Prisoners of Fate, Gale, and my girlfriend likes ZelbessDisk Three: The best of the three. Garden Of God, Chronopolis, Fates, Jellyfish sea, Burning Orphange, Dragon's Prayer, Tower Of Stars, Dragon God, and Radical Dreamers - Unstealable Jewel.Overall, this is a excellent soundtrack and should be brought by those that like video game music.Xander Cross",,
"If you've played the game, you know how divine the music is! Every single song tells a story of the game, it's that good! The greatest songs are without a doubt, Chrono Cross: Time's Scar, Magical Dreamers: The Wind, The Stars, and the Sea and Radical Dreamers: Unstolen Jewel. (Translation varies) This music is perfect if you ask me, the best it can be. Yasunori Mitsuda just poured his heart on and wrote it down on paper.",,
